Title;Company;Location;Salary
Privačių namų tvarkytojas (-a) Švedijoje;UAB „Personalas“;Sweden;1900-2200
Tapk anglų kalbos mokytoja (-as)! Patirtis nebūtina | English Language Teacher;UAB „Intellectus kalbų centras“;Klaipėda;16-21
Teisininkas/-ė;UAB „Tyrens Lietuva“;Kaunas;3300-4000
Projektų vadovas (-ė);UAB „Omberg group“;Vilnius;5000-7000
Atliekų tvarkymo specialistas-kontrolierius;UAB „Panevėžio regiono atliekų tvarkymo centras“;Biržai;1671-1839
Apsaugos darbuotojas reagavimo ekipažai dirba po du;UAB „JUNGTIS“;Kaunas;1050-1350
Buhalterė (-is);UAB „Biržų duona“;Biržai;1400
Projektų vadovas (-ė);UAB „Betono mozaika“;Kaunas;2420-2720
AUTOMATIKOS ĮRENGIMŲ DERINTOJAS;AB „Panevėžio stiklas“;Panevėžys;1100-1700
Jaunesnysis IT konsultantas (-ė);UAB „RASO“;Vilnius;From 1160
Statybos projekto vadovas;UAB „Baltijos pašvaistė“;Kaunas;3200-4600
Fasavimo linijų operatorius (-ė);IKI Lietuva, UAB;Panevėžys;1100-1870
Saulės elektrinių montuotojas (-a);Energroup, UAB;Vilnius;1800-3000
„Outlet Space“ pardavėjai - konsultantai (0,5 – 0,75 et.) PC „Vilnius Outlet“, (PILAITĖ);„Aprangos“ grupė;Vilnius;600-1130
PAMAINOS VYRESNYSIS (-IOJI) (DARBAS SANDĖLYJE);Sanitex įmonių grupė;Kaunas;1200-1500
Marketingo ir e-komercijos specialistas (-ė);Rx vaistinė, UAB;Kaunas;N/A
Stogų plovėjas Švedijoje;UAB „Personalas“;Sweden;2000-2500
Pardavėjas (-a) - barista, Vilnius (Vilnius Outlet);UAB „Biržų duona“;Vilnius;900-1050
Siūlome darbą sushi meistrams MANAMI restorane!;Amber Food grupė;Šiauliai;6
Įrengimų operatorius (apmokome);UAB „Vilkritis“;Vilnius;From 1150
Technikas (-ė) - mechanikas (-ė);UAB „KB Components“;Kaunas;From 1000
Pastatų apšiltintojas;UAB „Termoputa“;Šiauliai;800-1300
Procurement Manager (Photonics/ Laser optics);UAB „ALTECHNA“;Vilnius;1800-2800
PARDAVĖJA (-AS) - KONSULTANTĖ (-AS) PC Panorama 0,75 etatu;AUDIMAS įmonių grupė;Vilnius;825-1200
Transporto vadybininkas (-ė);UAB „Finėjas“;Vilnius;From 1600
Data Governance and Architecture Lead;UAB „DPD Lietuva“;Vilnius;5000-7000
Projektų vadovė (-as) (Turto realizavimas);LTG;Vilnius;2785-4175
Studijų krypčių mokslo vadovas;Šv. Ignaco Lojolos Kolegija;Kaunas;1500
Customer Integration and Data Management Specialist;„Cencora“;Vilnius;2485-3550
VEISLYNO KOORDINATORIUS (-Ė);KIKA LT, UAB;Kaunas;1500-1900
Dažymo linijos operatorius;UAB „Koloro“;Vilnius;From 1400
Didmenos skyriaus asistentas/-ė;UAB „KONFESTA“;Vilnius;2069-2455
Turistinio autobuso vairuotojas;UAB „Meteorit Turas“;Vilnius;2000-2500
Klientų aptarnavimo specialistas (-ė) Panevėžio r., Krekenavoje;UAB „Viada LT“;Krekenava;1200-1400
Infrastruktūros inžinierė (-ius) (techninė dokumentacija ir atitiktis);LTG;Vilnius;2330-3500
Klientų aptarnavimo skyriaus specialistas;UAB „Edukacija“;Kaunas;1500-1800
Vairuotojų apskaitos vadybininkė (as);UAB „Vestex transport“;Kaunas;From 1100
Technikos vadybininkas (-ė);UAB „Vestex transport“;Kaunas;From 1200
Svarbių klientų vadybininkas (-ė) (Key Account Manager);ŽŪB „Nematekas“;Kaišiadorys;1600-2000
Klientų konsultavimo komandos vadovas (-ė);AB Vilniaus šilumos tinklai;Vilnius;3200-4700
Asistentas dažymo linijoje;UAB „Koloro“;Vilnius;From 1200
Stalius;UAB „Įdarbinimo tarpininkavimo centras“;Kaunas;From 1700
Pardavimų Vadybininkas (-ė);UAB „NP grupė“;Vilnius;1400-3200
Elektrikas (-ė) PRANCŪZŲ KALBA;UAB „RNDV Group“;France;15-18
Marketingo vadybininko asistentas (-ė);UAB „Alteus“;Vilnius;1600-2400
Prekių atrinkėjas (-a) - krovėjas (-a);UAB „Signeda“;Kaunas;1402-2095
Prekių atrinkėjas (-a) - krovėjas (-a) slenkančiu grafiku;UAB „Signeda“;Kaunas;1501-2367
Restobaro administratorė;UAB „Gaisrinė“;Klaipėda;5.50-7
Kasininkas (-ė) - pardavėjas (-a),STOTIES G. 1,UKMERGĖ 0,5 ET.;IKI Lietuva, UAB;Ukmergė;525-582
Gamybos administratoriaus asistentas;UAB „IF Concept“;Panevėžys;From 1000
Kasininkas (-ė) - pardavėjas (-a), NEMUNO G. 70-16, PANEVĖŽYS;IKI Lietuva, UAB;Panevėžys;1050-1165
Krautuvo vairuotojas (-a) Vokietijoje! Išvyk greitai ir gauk 150 Eur premiją!;UAB „Headex“;Germany;1900-2000
Pamainos vadovas (-ė), NEMUNO G. 70-16, PANEVĖŽYS;IKI Lietuva, UAB;Panevėžys;1100-1240
Kokybės vadybininkas;UAB „Kitokia diena“;Klaipėda;1400-2000
PARDAVIMŲ INŽINIERIUS;PART OF UMEGA GROUP;Ukmergė;From 2100
Inžinierius projektuotojas (PV Design Engineer);UAB „Detra Solar“;Vilnius;From 2400
GAMYBOS PARUOŠIMO INŽINIERIUS;PART OF UMEGA GROUP;Ukmergė;From 2000
PARDAVĖJA (-AS) - KONSULTANTĖ (-AS) (KAUNAS, AKROPOLIS);UAB „Fliis Trade“;Kaunas;1100-2100
Kasininkas (-ė) - pardavėjas (-a), CHEMIKŲ G. 1-1, JONAVA;IKI Lietuva, UAB;Jonava;1050-1165
Elektrikas - Inžinierius - Mechanikas;UAB „Vilniaus skalbykla“;Vilnius;1500-2500
Sandėlininkas - prekių atrinkėjas Vilniuje;AB „ŽEMAITIJOS PIENAS“;Vilnius;1300
Pardavimų vadybininkas (-ė);UAB „ALWARK“;Vilnius;1500-3000
Aukštalipis (-ė);UAB „Alpinus LT“;Kaunas;1750-2900
Kūrybos dizaineris (-ė);AB „ŽEMAITIJOS PIENAS“;Šiauliai;3300-3700
Kūrybos dizaineris (-ė);AB „ŽEMAITIJOS PIENAS“;Klaipėda;3300-3700
Gamybos meistras (-ė);UAB „Medienos era“;Kaunas;From 2300
Kasininkė (-as);UAB „VSGA“;Klaipėda;1250-1400
Pardavimo vadybininkas (-ė) telefonu pozicija;CITY SERVICE įmonių grupė;Šiauliai;1225-1800
PARDAVIMŲ VADYBININKAS (-Ė);UAB „Vlantana“;Vilnius;2500-3500
PARDAVIMŲ VADYBININKAS (-Ė) (ACCOUNT MANAGER);BIOVELA GROUP;Vilnius;2455-2976
Marketingo vadybininkė (-as);UAB „Vidara“;Marijampolė;1000
Padavėja (-as) - pardavėja (-as);UAB „Avetus“;Vilnius;900
Išmaniųjų technologijų ekspertas Kaune;UAB „TELE2“;Kaunas;1200-4000
Verslo klientų vadybininkas Kaune (klientų pritraukimas);UAB „TELE2“;Kaunas;1850-3000
Verslo klientų vadybininkas Vilniuje (klientų pritraukimas);UAB „TELE2“;Vilnius;1850-3000
Pardavimų vadybininkas Šilalėje;UAB „TELE2“;Šilalė;1200-4900
Apsaugos darbuotojas (-a) statybos objekte;UAB „Ekskomisarų biuras“;Vilnius;1100-1300
Apsaugos darbuotojas (-a) statybos objekte;UAB „Ekskomisarų biuras“;Vilnius;1100-1300
Kebabų ruošėja (-as);UAB „Vydris“;Marijampolė;900-1300
Telemarketingo pardavimų vadybininkas Kaune;UAB „TELE2“;Kaunas;1300-2500
Head of Product Development;UAB „Medicinos linija“;Šiauliai;3300-4500
Pardavimų komandos vadovas Vilniuje;UAB „TELE2“;Vilnius;2100-4000
Pardavimų vadybininkas Vilniuje;UAB „TELE2“;Vilnius;1200-4900
Stalius (langų stiklinimas);ARLANGA wood, UAB;Vilnius;1130-1500
Verslo skyriaus vyr. specialistas (-ė);UAB „ALISA MANAGEMENT LABORATORY“;Alytus;1700-3000
EKSPEDICIJOS VADYBININKAS;UAB „Truktransa“;Kaunas;1200-5000
PARDAVIMŲ APSKAITOS SKYRIAUS VADOVAS (-Ė);BIOVELA GROUP;Utena;2000-3000
JAUNESNYSIS (-IOJI) ŠVIEŽIOS MĖSOS TECHNOLOGAS (-Ė);BIOVELA GROUP;Utena;1400-1800
Autoelektrikas;UAB „AutoRC“;Šiauliai;From 800
Tapk anglų kalbos mokytoja (-as)! Patirtis nebūtina | English Language Teacher;UAB „Intellectus kalbų centras“;Vilnius;16-21
Naujų automobilių pardavimo vadybininkas (-ė);UAB „IVUANA“;Kaunas;1000-3000
TEISININKAS (-Ė);UAB „BnP Finance“;Vilnius;2000-3000
Vyresnysis teisininkas (-ė);ADB „Gjensidige“;Vilnius;2051-3077
Automobilių plovėjas;UAB „Autojuta“;Vilnius;1300-2600
Operatorius (-ė) - surinkėjas (-a);AQ Wiring Systems UAB;Panevėžys;1072-1900
Informacinių technologijų ir ryšių saugumo specialistas (-ė);Lietuvos Respublikos ryšių reguliavimo tarnyba;Vilnius;2500-2850
MONTUOTOJAS (-A) - SUVIRINTOJAS (-A);INHUS;Vilnius;1500-1900
Customer Success Specialist;UAB „ESTO“;Vilnius;1500-1800
Registratorė (-ius) medicinos klinikoje Vilniuje;NORTHWAY ĮMONIŲ GRUPĖ;Vilnius;1898
Tapk anglų kalbos mokytoja (-as)! Patirtis nebūtina | English Language Teacher;UAB „Intellectus kalbų centras“;Kaunas;16-21
Privačių namų tvarkytojas (-a) Švedijoje;UAB „Personalas“;Sweden;1900-2200
Tapk anglų kalbos mokytoja (-as)! Patirtis nebūtina | English Language Teacher;UAB „Intellectus kalbų centras“;Klaipėda;16-21
Teisininkas/-ė;UAB „Tyrens Lietuva“;Kaunas;3300-4000
Projektų vadovas (-ė);UAB „Omberg group“;Vilnius;5000-7000
Atliekų tvarkymo specialistas-kontrolierius;UAB „Panevėžio regiono atliekų tvarkymo centras“;Biržai;1671-1839
Apsaugos darbuotojas reagavimo ekipažai dirba po du;UAB „JUNGTIS“;Kaunas;1050-1350
Buhalterė (-is);UAB „Biržų duona“;Biržai;1400
Projektų vadovas (-ė);UAB „Betono mozaika“;Kaunas;2420-2720
AUTOMATIKOS ĮRENGIMŲ DERINTOJAS;AB „Panevėžio stiklas“;Panevėžys;1100-1700
Jaunesnysis IT konsultantas (-ė);UAB „RASO“;Vilnius;From 1160
Statybos projekto vadovas;UAB „Baltijos pašvaistė“;Kaunas;3200-4600
Fasavimo linijų operatorius (-ė);IKI Lietuva, UAB;Panevėžys;1100-1870
Saulės elektrinių montuotojas (-a);Energroup, UAB;Vilnius;1800-3000
„Outlet Space“ pardavėjai - konsultantai (0,5 – 0,75 et.) PC „Vilnius Outlet“, (PILAITĖ);„Aprangos“ grupė;Vilnius;600-1130
PAMAINOS VYRESNYSIS (-IOJI) (DARBAS SANDĖLYJE);Sanitex įmonių grupė;Kaunas;1200-1500
Marketingo ir e-komercijos specialistas (-ė);Rx vaistinė, UAB;Kaunas;N/A
Stogų plovėjas Švedijoje;UAB „Personalas“;Sweden;2000-2500
Pardavėjas (-a) - barista, Vilnius (Vilnius Outlet);UAB „Biržų duona“;Vilnius;900-1050
Siūlome darbą sushi meistrams MANAMI restorane!;Amber Food grupė;Šiauliai;6
Įrengimų operatorius (apmokome);UAB „Vilkritis“;Vilnius;From 1150
Technikas (-ė) - mechanikas (-ė);UAB „KB Components“;Kaunas;From 1000
Pastatų apšiltintojas;UAB „Termoputa“;Šiauliai;800-1300
Procurement Manager (Photonics/ Laser optics);UAB „ALTECHNA“;Vilnius;1800-2800
PARDAVĖJA (-AS) - KONSULTANTĖ (-AS) PC Panorama 0,75 etatu;AUDIMAS įmonių grupė;Vilnius;825-1200
Transporto vadybininkas (-ė);UAB „Finėjas“;Vilnius;From 1600
Data Governance and Architecture Lead;UAB „DPD Lietuva“;Vilnius;5000-7000
Projektų vadovė (-as) (Turto realizavimas);LTG;Vilnius;2785-4175
Studijų krypčių mokslo vadovas;Šv. Ignaco Lojolos Kolegija;Kaunas;1500
Customer Integration and Data Management Specialist;„Cencora“;Vilnius;2485-3550
VEISLYNO KOORDINATORIUS (-Ė);KIKA LT, UAB;Kaunas;1500-1900
Dažymo linijos operatorius;UAB „Koloro“;Vilnius;From 1400
Didmenos skyriaus asistentas/-ė;UAB „KONFESTA“;Vilnius;2069-2455
Turistinio autobuso vairuotojas;UAB „Meteorit Turas“;Vilnius;2000-2500
Klientų aptarnavimo specialistas (-ė) Panevėžio r., Krekenavoje;UAB „Viada LT“;Krekenava;1200-1400
Infrastruktūros inžinierė (-ius) (techninė dokumentacija ir atitiktis);LTG;Vilnius;2330-3500
Klientų aptarnavimo skyriaus specialistas;UAB „Edukacija“;Kaunas;1500-1800
Vairuotojų apskaitos vadybininkė (as);UAB „Vestex transport“;Kaunas;From 1100
Technikos vadybininkas (-ė);UAB „Vestex transport“;Kaunas;From 1200
Svarbių klientų vadybininkas (-ė) (Key Account Manager);ŽŪB „Nematekas“;Kaišiadorys;1600-2000
Klientų konsultavimo komandos vadovas (-ė);AB Vilniaus šilumos tinklai;Vilnius;3200-4700
Asistentas dažymo linijoje;UAB „Koloro“;Vilnius;From 1200
Stalius;UAB „Įdarbinimo tarpininkavimo centras“;Kaunas;From 1700
Pardavimų Vadybininkas (-ė);UAB „NP grupė“;Vilnius;1400-3200
Elektrikas (-ė) PRANCŪZŲ KALBA;UAB „RNDV Group“;France;15-18
Marketingo vadybininko asistentas (-ė);UAB „Alteus“;Vilnius;1600-2400
Prekių atrinkėjas (-a) - krovėjas (-a);UAB „Signeda“;Kaunas;1402-2095
Prekių atrinkėjas (-a) - krovėjas (-a) slenkančiu grafiku;UAB „Signeda“;Kaunas;1501-2367
Restobaro administratorė;UAB „Gaisrinė“;Klaipėda;5.50-7
Kasininkas (-ė) - pardavėjas (-a),STOTIES G. 1,UKMERGĖ 0,5 ET.;IKI Lietuva, UAB;Ukmergė;525-582
Gamybos administratoriaus asistentas;UAB „IF Concept“;Panevėžys;From 1000
Kasininkas (-ė) - pardavėjas (-a), NEMUNO G. 70-16, PANEVĖŽYS;IKI Lietuva, UAB;Panevėžys;1050-1165
Krautuvo vairuotojas (-a) Vokietijoje! Išvyk greitai ir gauk 150 Eur premiją!;UAB „Headex“;Germany;1900-2000
Pamainos vadovas (-ė), NEMUNO G. 70-16, PANEVĖŽYS;IKI Lietuva, UAB;Panevėžys;1100-1240
Kokybės vadybininkas;UAB „Kitokia diena“;Klaipėda;1400-2000
PARDAVIMŲ INŽINIERIUS;PART OF UMEGA GROUP;Ukmergė;From 2100
Inžinierius projektuotojas (PV Design Engineer);UAB „Detra Solar“;Vilnius;From 2400
GAMYBOS PARUOŠIMO INŽINIERIUS;PART OF UMEGA GROUP;Ukmergė;From 2000
PARDAVĖJA (-AS) - KONSULTANTĖ (-AS) (KAUNAS, AKROPOLIS);UAB „Fliis Trade“;Kaunas;1100-2100
Kasininkas (-ė) - pardavėjas (-a), CHEMIKŲ G. 1-1, JONAVA;IKI Lietuva, UAB;Jonava;1050-1165
Elektrikas - Inžinierius - Mechanikas;UAB „Vilniaus skalbykla“;Vilnius;1500-2500
Sandėlininkas - prekių atrinkėjas Vilniuje;AB „ŽEMAITIJOS PIENAS“;Vilnius;1300
Pardavimų vadybininkas (-ė);UAB „ALWARK“;Vilnius;1500-3000
Aukštalipis (-ė);UAB „Alpinus LT“;Kaunas;1750-2900
Kūrybos dizaineris (-ė);AB „ŽEMAITIJOS PIENAS“;Šiauliai;3300-3700
Kūrybos dizaineris (-ė);AB „ŽEMAITIJOS PIENAS“;Klaipėda;3300-3700
Gamybos meistras (-ė);UAB „Medienos era“;Kaunas;From 2300
Kasininkė (-as);UAB „VSGA“;Klaipėda;1250-1400
Pardavimo vadybininkas (-ė) telefonu pozicija;CITY SERVICE įmonių grupė;Šiauliai;1225-1800
PARDAVIMŲ VADYBININKAS (-Ė);UAB „Vlantana“;Vilnius;2500-3500
PARDAVIMŲ VADYBININKAS (-Ė) (ACCOUNT MANAGER);BIOVELA GROUP;Vilnius;2455-2976
Marketingo vadybininkė (-as);UAB „Vidara“;Marijampolė;1000
Padavėja (-as) - pardavėja (-as);UAB „Avetus“;Vilnius;900
Išmaniųjų technologijų ekspertas Kaune;UAB „TELE2“;Kaunas;1200-4000
Verslo klientų vadybininkas Kaune (klientų pritraukimas);UAB „TELE2“;Kaunas;1850-3000
Verslo klientų vadybininkas Vilniuje (klientų pritraukimas);UAB „TELE2“;Vilnius;1850-3000
Pardavimų vadybininkas Šilalėje;UAB „TELE2“;Šilalė;1200-4900
Apsaugos darbuotojas (-a) statybos objekte;UAB „Ekskomisarų biuras“;Vilnius;1100-1300
Apsaugos darbuotojas (-a) statybos objekte;UAB „Ekskomisarų biuras“;Vilnius;1100-1300
Apsaugos darbuotojas (-a) statybos objekte;UAB „Ekskomisarų biuras“;Vilnius;1100-1300
Kebabų ruošėja (-as);UAB „Vydris“;Marijampolė;900-1300
Telemarketingo pardavimų vadybininkas Kaune;UAB „TELE2“;Kaunas;1300-2500
Head of Product Development;UAB „Medicinos linija“;Šiauliai;3300-4500
Pardavimų komandos vadovas Vilniuje;UAB „TELE2“;Vilnius;2100-4000
Pardavimų vadybininkas Vilniuje;UAB „TELE2“;Vilnius;1200-4900
Stalius (langų stiklinimas);ARLANGA wood, UAB;Vilnius;1130-1500
Verslo skyriaus vyr. specialistas (-ė);UAB „ALISA MANAGEMENT LABORATORY“;Alytus;1700-3000
EKSPEDICIJOS VADYBININKAS;UAB „Truktransa“;Kaunas;1200-5000
PARDAVIMŲ APSKAITOS SKYRIAUS VADOVAS (-Ė);BIOVELA GROUP;Utena;2000-3000
JAUNESNYSIS (-IOJI) ŠVIEŽIOS MĖSOS TECHNOLOGAS (-Ė);BIOVELA GROUP;Utena;1400-1800
Autoelektrikas;UAB „AutoRC“;Šiauliai;From 800
Tapk anglų kalbos mokytoja (-as)! Patirtis nebūtina | English Language Teacher;UAB „Intellectus kalbų centras“;Vilnius;16-21
Naujų automobilių pardavimo vadybininkas (-ė);UAB „IVUANA“;Kaunas;1000-3000
TEISININKAS (-Ė);UAB „BnP Finance“;Vilnius;2000-3000
Vyresnysis teisininkas (-ė);ADB „Gjensidige“;Vilnius;2051-3077
Automobilių plovėjas;UAB „Autojuta“;Vilnius;1300-2600
Operatorius (-ė) - surinkėjas (-a);AQ Wiring Systems UAB;Panevėžys;1072-1900
Informacinių technologijų ir ryšių saugumo specialistas (-ė);Lietuvos Respublikos ryšių reguliavimo tarnyba;Vilnius;2500-2850
MONTUOTOJAS (-A) - SUVIRINTOJAS (-A);INHUS;Vilnius;1500-1900
Customer Success Specialist;UAB „ESTO“;Vilnius;1500-1800
Registratorė (-ius) medicinos klinikoje Vilniuje;NORTHWAY ĮMONIŲ GRUPĖ;Vilnius;1898
Tapk anglų kalbos mokytoja (-as)! Patirtis nebūtina | English Language Teacher;UAB „Intellectus kalbų centras“;Kaunas;16-21
Privačių namų tvarkytojas (-a) Švedijoje;UAB „Personalas“;Sweden;1900-2200
Tapk anglų kalbos mokytoja (-as)! Patirtis nebūtina | English Language Teacher;UAB „Intellectus kalbų centras“;Klaipėda;16-21
Teisininkas/-ė;UAB „Tyrens Lietuva“;Kaunas;3300-4000
Projektų vadovas (-ė);UAB „Omberg group“;Vilnius;5000-7000
Atliekų tvarkymo specialistas-kontrolierius;UAB „Panevėžio regiono atliekų tvarkymo centras“;Biržai;1671-1839
Apsaugos darbuotojas reagavimo ekipažai dirba po du;UAB „JUNGTIS“;Kaunas;1050-1350
Buhalterė (-is);UAB „Biržų duona“;Biržai;1400
Projektų vadovas (-ė);UAB „Betono mozaika“;Kaunas;2420-2720
AUTOMATIKOS ĮRENGIMŲ DERINTOJAS;AB „Panevėžio stiklas“;Panevėžys;1100-1700
Jaunesnysis IT konsultantas (-ė);UAB „RASO“;Vilnius;From 1160
Statybos projekto vadovas;UAB „Baltijos pašvaistė“;Kaunas;3200-4600
Fasavimo linijų operatorius (-ė);IKI Lietuva, UAB;Panevėžys;1100-1870
Saulės elektrinių montuotojas (-a);Energroup, UAB;Vilnius;1800-3000
„Outlet Space“ pardavėjai - konsultantai (0,5 – 0,75 et.) PC „Vilnius Outlet“, (PILAITĖ);„Aprangos“ grupė;Vilnius;600-1130
PAMAINOS VYRESNYSIS (-IOJI) (DARBAS SANDĖLYJE);Sanitex įmonių grupė;Kaunas;1200-1500
Marketingo ir e-komercijos specialistas (-ė);Rx vaistinė, UAB;Kaunas;N/A
Stogų plovėjas Švedijoje;UAB „Personalas“;Sweden;2000-2500
Pardavėjas (-a) - barista, Vilnius (Vilnius Outlet);UAB „Biržų duona“;Vilnius;900-1050
Siūlome darbą sushi meistrams MANAMI restorane!;Amber Food grupė;Šiauliai;6
Įrengimų operatorius (apmokome);UAB „Vilkritis“;Vilnius;From 1150
Technikas (-ė) - mechanikas (-ė);UAB „KB Components“;Kaunas;From 1000
Pastatų apšiltintojas;UAB „Termoputa“;Šiauliai;800-1300
Procurement Manager (Photonics/ Laser optics);UAB „ALTECHNA“;Vilnius;1800-2800
PARDAVĖJA (-AS) - KONSULTANTĖ (-AS) PC Panorama 0,75 etatu;AUDIMAS įmonių grupė;Vilnius;825-1200
Transporto vadybininkas (-ė);UAB „Finėjas“;Vilnius;From 1600
Data Governance and Architecture Lead;UAB „DPD Lietuva“;Vilnius;5000-7000
